type,name,amount,balance,apr,minPayment,date,category,note,debtName,target,current,month,day,dueDay,kind,monthsLeft,term_months,brand
daily,,16.68,,,,2026-07-06,Food,Lunch food court KLCC,,,,,,,,,,
daily,,19.38,,,,2026-07-06,Transport,Grab,,,,,,,,,,
daily,,7.84,,,,2026-07-07,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.21,,,,2026-07-07,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,17.46,,,,2026-07-07,Food,Mamak dinner,,,,,,,,,,
daily,,7.59,,,,2026-07-09,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,16.61,,,,2026-07-09,Food,Tapau dinner,,,,,,,,,,
daily,,6.83,,,,2026-07-10,Food,Roti canai + teh tarik,,,,,,,,,,
daily,,72.6,,,,2026-07-10,Transport,RON95 full tank,,,,,,,,,,
daily,,18.76,,,,2026-07-11,Groceries,99 Speedmart,,,,,,,,,,
daily,,54.64,,,,2026-07-11,Health,Guardian,,,,,,,,,,
daily,,28.99,,,,2026-07-13,Groceries,99 Speedmart,,,,,,,,,,
daily,,11.08,,,,2026-07-14,Food,Chicken rice,,,,,,,,,,
daily,,39.87,,,,2026-07-14,Food,Dinner dengan geng,,,,,,,,,,
daily,,7.63,,,,2026-07-14,Transport,Parking,,,,,,,,,,
daily,,7.59,,,,2026-07-15,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,16.67,,,,2026-07-15,Food,Lunch food court KLCC,,,,,,,,,,
daily,,15.84,,,,2026-07-15,Food,Mamak dinner,,,,,,,,,,
daily,,17.44,,,,2026-07-15,Transport,Grab,,,,,,,,,,
daily,,98.27,,,,2026-07-15,Shopping,Watsons,,,,,,,,,,
daily,,16.8,,,,2026-07-16,Food,Lunch food court KLCC,,,,,,,,,,
daily,,16.14,,,,2026-07-16,Food,Mamak dinner,,,,,,,,,,
daily,,9.26,,,,2026-07-17,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.08,,,,2026-07-17,Food,Chicken rice,,,,,,,,,,
daily,,72.5,,,,2026-07-17,Transport,RON95 full tank,,,,,,,,,,
daily,,7.36,,,,2026-07-18,Food,Roti canai + teh tarik,,,,,,,,,,
daily,,16.92,,,,2026-07-18,Food,Mamak dinner,,,,,,,,,,
daily,,105.58,,,,2026-07-18,Groceries,Mydin,,,,,,,,,,
daily,,65.03,,,,2026-07-18,Health,Klinik,,,,,,,,,,
daily,,8.78,,,,2026-07-19,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,15.02,,,,2026-07-20,Food,Lunch food court KLCC,,,,,,,,,,
daily,,25.7,,,,2026-07-20,Others,Barber,,,,,,,,,,
daily,,50,,,,2026-07-21,Transport,Touch 'n Go reload,,,,,,,,,,
daily,,8.44,,,,2026-07-22,Food,Roti canai + teh tarik,,,,,,,,,,
daily,,10.98,,,,2026-07-22,Food,Economy rice,,,,,,,,,,
daily,,44.38,,,,2026-07-22,Food,Dinner dengan geng,,,,,,,,,,
daily,,17.39,,,,2026-07-23,Food,Lunch food court KLCC,,,,,,,,,,
daily,,15.2,,,,2026-07-24,Food,Lunch food court KLCC,,,,,,,,,,
daily,,64.75,,,,2026-07-24,Transport,RON95 full tank,,,,,,,,,,
daily,,8.16,,,,2026-07-26,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,5.1,,,,2026-07-26,Transport,Parking,,,,,,,,,,
daily,,13.19,,,,2026-07-27,Food,Chicken rice,,,,,,,,,,
daily,,8.4,,,,2026-07-28,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,11.04,,,,2026-07-28,Food,Economy rice,,,,,,,,,,
daily,,16.97,,,,2026-07-28,Food,Tapau dinner,,,,,,,,,,
daily,,15.46,,,,2026-07-29,Food,Lunch food court KLCC,,,,,,,,,,
daily,,13.43,,,,2026-07-29,Food,Mamak dinner,,,,,,,,,,
daily,,39.97,,,,2026-07-29,Health,Klinik,,,,,,,,,,
daily,,31.79,,,,2026-07-29,Entertainment,Board game cafe,,,,,,,,,,
daily,,13.5,,,,2026-07-30,Food,Kopitiam breakfast set,,,,,,,,,,
daily,,13.62,,,,2026-07-30,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,13.55,,,,2026-07-30,Food,Tapau dinner,,,,,,,,,,
daily,,8.38,,,,2026-07-31,Food,Nasi lemak + kopi O,,,,,,,,,,
daily,,14.01,,,,2026-07-31,Food,Chicken rice,,,,,,,,,,
daily,,65.01,,,,2026-07-31,Transport,RON95 full tank,,,,,,,,,,
daily,,21.49,,,,2026-07-31,Transport,Grab,,,,,,,,,,
daily,,57.42,,,,2026-07-31,Shopping,Uniqlo,,,,,,,,,,
daily,,54.57,,,,2026-07-31,Entertainment,GSC,,,,,,,,,,
daily,,28.99,,,,2026-08-01,Health,Klinik,,,,,,,,,,
daily,,33.05,,,,2026-08-02,Food,Dinner dengan geng,,,,,,,,,,
daily,,6.59,,,,2026-08-02,Transport,Parking,,,,,,,,,,
daily,,116.78,,,,2026-08-02,Groceries,Jaya Grocer,,,,,,,,,,
daily,,7.12,,,,2026-08-03,Food,Roti canai + teh tarik,,,,,,,,,,
daily,,18.77,,,,2026-08-03,Food,Lunch food court KLCC,,,,,,,,,,
daily,,71.45,,,,2026-08-03,Transport,RON95 full tank,,,,,,,,,,
daily,,13.41,,,,2026-08-04,Food,Nasi campur 2 lauk,,,,,,,,,,
daily,,12.27,,,,2026-08-04,Food,Mamak dinner,,,,,,,,,,
daily,,13.14,,,,2026-08-05,Food,Chicken rice,,,,,,,,,,
daily,,50,,,,2026-08-05,Transport,Touch 'n Go reload,,,,,,,,,,
daily-debt,,545,,,,2026-06-05,,,Kereta Myvi,,,,,,,,,
daily-debt,,300,,,,2026-06-15,,,Maybank card,,,,,,,,,
daily-debt,,266.67,,,,2026-06-18,,,SPayLater,,,,,,,,,
daily-debt,,89.9,,,,2026-06-22,,,Atome — Uniqlo,,,,,,,,,
daily-debt,,150,,,,2026-06-28,,,PTPTN,,,,,,,,,
daily-debt,,545,,,,2026-07-05,,,Kereta Myvi,,,,,,,,,
daily-debt,,300,,,,2026-07-15,,,Maybank card,,,,,,,,,
daily-debt,,266.67,,,,2026-07-18,,,SPayLater,,,,,,,,,
daily-debt,,89.9,,,,2026-07-22,,,Atome — Uniqlo,,,,,,,,,
daily-debt,,150,,,,2026-07-28,,,PTPTN,,,,,,,,,
daily-debt,,545,,,,2026-08-05,,,Kereta Myvi,,,,,,,,,
daily-saving,Umrah 2027,150,,,,2026-06-26,,,,,,,,,,,,
daily-saving,Simpanan kecemasan,400,,,,2026-07-26,,,,,,,,,,,,
daily-saving,Umrah 2027,150,,,,2026-07-26,,,,,,,,,,,,
